ID,customer_ID,store_ID,article_ID,validFrom,validTo,propensity,offerDiscountPct,expectedRevenue,currency_code,channel,rationale,state
NBO-000353,CUST00198,STR01,AR90013,2026-07-03,2026-07-17,0.9432,12.8,1.4,EUR,APP_PUSH,"Buys Red Bull 0,25 about every 32.5 days and is 57 days on from the last one.",OPEN
NBO-000001,CUST00001,MUC01,AR90036,2026-07-03,2026-07-17,0.9232,11.2,1.39,EUR,APP_PUSH,Buys Welde Alkoholfrei about every 43 days and is 91 days on from the last one.,OPEN
NBO-000594,CUST00338,HAM01,AR00204,2026-07-03,2026-07-17,0.8768,8,1.45,EUR,APP_PUSH,Buys Croissant Schnecke about every 27.5 days and is 45 days on from the last one.,OPEN
NBO-000824,CUST00470,HAM01,AR90018,2026-07-03,2026-07-17,0.8682,9.6,1.53,EUR,APP_PUSH,Buys DPG Vitamin Well Reload about every 38 days and is 87 days on from the last one.,OPEN
NBO-000278,CUST00167,HAM01,AR00188,2026-07-03,2026-07-17,0.8636,9.6,1.41,EUR,APP_PUSH,Buys Laugenbrezel mit Butter about every 17.5 days and is 30 days on from the last one.,OPEN
NBO-000426,CUST00241,HAM01,AR00213,2026-07-03,2026-07-17,0.8594,11.2,0.92,EUR,APP_PUSH,Buys Twix Xtra 75g about every 31.5 days and is 92 days on from the last one.,OPEN
NBO-000171,CUST00106,BLN01,AR90013,2026-07-03,2026-07-17,0.8463,8,1.32,EUR,APP_PUSH,"Buys Red Bull 0,25 about every 27 days and is 53 days on from the last one.",OPEN
NBO-000538,CUST00304,STR01,AR90013,2026-07-03,2026-07-17,0.8276,11.2,1.25,EUR,APP_PUSH,"Buys Red Bull 0,25 about every 52 days and is 59 days on from the last one.",OPEN
NBO-000451,CUST00251,WDF02,AR90040,2026-07-03,2026-07-17,0.8117,19.8,1.11,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000452,CUST00251,WDF02,AR90030,2026-07-03,2026-07-17,0.8117,19.8,1.04,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000453,CUST00251,WDF02,AR90039,2026-07-03,2026-07-17,0.8117,19.8,0.98,EUR,APP_PUSH,"Coca Cola Zero 0,4L Glas Mehrweg sells with Leergut 0,15 EUR at 3.42x lift, and that is one of this customer's regular buys.",OPEN
NBO-000013,CUST00008,MUC01,AR90003,2026-07-03,2026-07-17,0.8081,9.6,0.11,EUR,APP_PUSH,"Buys Leergut 0,15 EUR about every 35.5 days and is 50 days on from the last one.",OPEN
NBO-000645,CUST00367,WDF01,AR90003,2026-07-03,2026-07-17,0.8076,12.8,0.11,EUR,APP_PUSH,"Buys Leergut 0,15 EUR about every 39.3 days and is 58 days on from the last one.",OPEN
NBO-000380,CUST00215,HAM01,AR00243,2026-07-03,2026-07-17,0.8057,8,1.85,EUR,APP_PUSH,Buys HOMEMADE BUN VEGAN about every 49.5 days and is 73 days on from the last one.,OPEN
NBO-000479,CUST00262,HAM01,AR90002,2026-07-03,2026-07-17,0.7897,8,0.06,EUR,APP_PUSH,"Buys Leergut 0,08 EUR about every 24.5 days and is 59 days on from the last one.",OPEN
NBO-000687,CUST00389,MUC01,AR90040,2026-07-03,2026-07-17,0.7773,19.8,1.06,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000688,CUST00389,MUC01,AR90030,2026-07-03,2026-07-17,0.7773,19.8,1,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000392,CUST00223,WDF01,AR90039,2026-07-03,2026-07-17,0.7725,8,1.07,EUR,APP_PUSH,"Buys Coca Cola Zero 0,4L Glas Mehrweg about every 53 days and is 71 days on from the last one.",OPEN
NBO-000791,CUST00447,HAM01,AR00188,2026-07-03,2026-07-17,0.7702,8,1.28,EUR,APP_PUSH,Buys Laugenbrezel mit Butter about every 51 days and is 81 days on from the last one.,OPEN
NBO-000747,CUST00421,HAM01,AR90030,2026-07-03,2026-07-17,0.7673,19.8,0.98,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000748,CUST00421,HAM01,AR90035,2026-07-03,2026-07-17,0.7673,19.8,1.05,EUR,APP_PUSH,"Welde Naturradler sells with Leergut 0,08 EUR at 9.52x lift, and that is one of this customer's regular buys.",OPEN
NBO-000177,CUST00108,WDF01,AR00245,2026-07-03,2026-07-17,0.7659,12.8,2.07,EUR,APP_PUSH,Buys HOMEMADE Breakfastcup 285g about every 38 days and is 38 days on from the last one.,OPEN
NBO-000602,CUST00343,HAM01,AR90040,2026-07-03,2026-07-17,0.7657,18.2,1.06,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000480,CUST00262,HAM01,AR00241,2026-07-03,2026-07-17,0.7648,8,1.76,EUR,APP_PUSH,Buys HOMEMADE BUN HAM about every 19.5 days and is 49 days on from the last one.,OPEN
NBO-000373,CUST00209,WDF02,AR90040,2026-07-03,2026-07-17,0.7634,19.8,1.04,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000374,CUST00209,WDF02,AR90030,2026-07-03,2026-07-17,0.7634,19.8,0.98,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000206,CUST00128,WDF01,AR90003,2026-07-03,2026-07-17,0.7573,8,0.1,EUR,APP_PUSH,"Buys Leergut 0,15 EUR about every 30.5 days and is 38 days on from the last one.",OPEN
NBO-000564,CUST00320,HAM01,AR00241,2026-07-03,2026-07-17,0.756,8,1.74,EUR,APP_PUSH,Buys HOMEMADE BUN HAM about every 36 days and is 61 days on from the last one.,OPEN
NBO-000603,CUST00343,HAM01,AR90035,2026-07-03,2026-07-17,0.7555,18.2,1.05,EUR,APP_PUSH,"Welde Naturradler sells with Leergut 0,08 EUR at 9.52x lift, and that is one of this customer's regular buys.",OPEN
NBO-000154,CUST00097,HAM01,AR90019,2026-07-03,2026-07-17,0.7533,9.6,1.33,EUR,APP_PUSH,Buys DPG Vitamin Well Hydrate about every 53 days and is 49 days on from the last one.,OPEN
NBO-000427,CUST00241,HAM01,AR90040,2026-07-03,2026-07-17,0.7522,18.2,1.05,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000428,CUST00241,HAM01,AR90030,2026-07-03,2026-07-17,0.7522,18.2,0.98,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000646,CUST00367,WDF01,AR90030,2026-07-03,2026-07-17,0.7519,19.8,0.96,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000398,CUST00225,WDF01,AR90040,2026-07-03,2026-07-17,0.7461,18.2,1.04,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000399,CUST00225,WDF01,AR90030,2026-07-03,2026-07-17,0.7461,18.2,0.98,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000137,CUST00082,HAM01,AR90036,2026-07-03,2026-07-17,0.7457,19.8,1.02,EUR,APP_PUSH,"Welde Alkoholfrei sells with Leergut 0,08 EUR at 7.14x lift, and that is one of this customer's regular buys.",OPEN
NBO-000539,CUST00304,STR01,AR90035,2026-07-03,2026-07-17,0.7446,18.2,1.04,EUR,APP_PUSH,"Welde Naturradler sells with Leergut 0,08 EUR at 9.52x lift, and that is one of this customer's regular buys.",OPEN
NBO-000540,CUST00304,STR01,AR90034,2026-07-03,2026-07-17,0.7446,18.2,1.04,EUR,APP_PUSH,"Welde Slow sells with Leergut 0,08 EUR at 8.29x lift, and that is one of this customer's regular buys.",OPEN
NBO-000552,CUST00314,BLN01,AR90035,2026-07-03,2026-07-17,0.7413,18.2,1.03,EUR,APP_PUSH,"Welde Naturradler sells with Leergut 0,08 EUR at 9.52x lift, and that is one of this customer's regular buys.",OPEN
NBO-000553,CUST00314,BLN01,AR90036,2026-07-03,2026-07-17,0.7413,18.2,1.03,EUR,APP_PUSH,"Welde Alkoholfrei sells with Leergut 0,08 EUR at 7.14x lift, and that is one of this customer's regular buys.",OPEN
NBO-000138,CUST00082,HAM01,AR90040,2026-07-03,2026-07-17,0.741,19.8,1.01,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000139,CUST00082,HAM01,AR90030,2026-07-03,2026-07-17,0.741,19.8,0.95,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000255,CUST00152,WDF01,AR90040,2026-07-03,2026-07-17,0.7393,18.2,1.03,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000256,CUST00152,WDF01,AR90030,2026-07-03,2026-07-17,0.7393,18.2,0.97,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000087,CUST00050,HAM01,AR00245,2026-07-03,2026-07-17,0.7379,9.6,2.07,EUR,APP_PUSH,Buys HOMEMADE Breakfastcup 285g about every 21.5 days and is 64 days on from the last one.,OPEN
NBO-000569,CUST00322,BLN01,AR90040,2026-07-03,2026-07-17,0.7367,18.2,1.02,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000570,CUST00322,BLN01,AR90030,2026-07-03,2026-07-17,0.7367,18.2,0.96,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000140,CUST00083,BLN01,AR90003,2026-07-03,2026-07-17,0.7362,12.8,0.1,EUR,APP_PUSH,"Buys Leergut 0,15 EUR about every 56 days and is 56 days on from the last one.",OPEN
NBO-000627,CUST00359,STR01,AR90035,2026-07-03,2026-07-17,0.7341,16.6,1.04,EUR,APP_PUSH,"Welde Naturradler sells with Leergut 0,08 EUR at 9.52x lift, and that is one of this customer's regular buys.",OPEN
NBO-000628,CUST00359,STR01,AR90036,2026-07-03,2026-07-17,0.7341,16.6,1.04,EUR,APP_PUSH,"Welde Alkoholfrei sells with Leergut 0,08 EUR at 7.14x lift, and that is one of this customer's regular buys.",OPEN
NBO-000354,CUST00198,STR01,AR90040,2026-07-03,2026-07-17,0.7331,19.8,1,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000355,CUST00198,STR01,AR90030,2026-07-03,2026-07-17,0.7331,19.8,0.94,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000470,CUST00259,MUC01,AR90004,2026-07-03,2026-07-17,0.7325,9.6,0.17,EUR,APP_PUSH,"Buys Leergut 0,25 EUR about every 23 days and is 44 days on from the last one.",OPEN
NBO-000654,CUST00373,MUC01,AR90040,2026-07-03,2026-07-17,0.7317,16.6,1.04,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
NBO-000655,CUST00373,MUC01,AR90030,2026-07-03,2026-07-17,0.7317,16.6,0.98,EUR,APP_PUSH,"Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",OPEN
NBO-000462,CUST00256,MUC01,AR90013,2026-07-03,2026-07-17,0.7314,9.6,1.12,EUR,APP_PUSH,"Buys Red Bull 0,25 about every 33 days and is 59 days on from the last one.",OPEN
NBO-000554,CUST00314,BLN01,AR90040,2026-07-03,2026-07-17,0.7303,18.2,1.02,EUR,APP_PUSH,"FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",OPEN
