ID,store_ID,article_ID,supplier_ID,dueOn,onHand,reorderPoint,recommendedQty,coverageHours,urgency,criticality,state,stockoutRisk,lostSalesValue,currency_code,reasoning
RP-000001,MUC01,AR00278,SUP007,2026-07-03,2.558,9,7,61.39,LOW,3,OPEN,0.95,20.81,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 61.4h against a reorder point of 9 units."
RP-000002,WDF01,AR90021,SUP008,2026-07-03,0.127,10.19,10,2.58,CRITICAL,1,OPEN,1,12.43,EUR,"1.18 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 2.6h against a reorder point of 10.2 units."
RP-000003,BLN01,AR90021,SUP008,2026-07-03,2.069,8.853,6,32.66,LOW,3,OPEN,1,7.78,EUR,"1.08 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 32.7h against a reorder point of 8.9 units."
RP-000004,BLN01,AR00215,SUP007,2026-07-03,6.104,11.63,5,94.33,LOW,3,OPEN,0.9984,7.56,EUR,"1.1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 94.3h against a reorder point of 11.6 units."
RP-000005,WDF01,AR00064,SUP008,2026-07-03,3.322,14.706,12,51.59,LOW,3,OPEN,0.9997,7.02,EUR,"1.55 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 51.6h against a reorder point of 14.7 units."
RP-000006,MUC01,AR00276,SUP007,2026-07-03,0.603,12.47,11,12.5,MEDIUM,2,OPEN,1,6.76,EUR,"1.16 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 12.5h against a reorder point of 12.5 units."
RP-000007,MUC01,AR00040,SUP007,2026-07-03,5.021,13.246,8,100.42,LOW,3,OPEN,0.9998,6.63,EUR,"1.2 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 100.4h against a reorder point of 13.2 units."
RP-000008,BLN01,AR00219,SUP007,2026-07-03,1.448,13.106,11,20.51,LOW,3,OPEN,1,6.25,EUR,"1.2 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 20.5h against a reorder point of 13.1 units."
RP-000009,HAM01,AR00040,SUP007,2026-07-03,1.564,9,5,23.46,LOW,3,OPEN,0.95,5.85,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 23.5h against a reorder point of 9 units."
RP-000010,WDF01,AR00215,SUP007,2026-07-03,5.754,9,3,138.1,LOW,3,OPEN,0.95,5.78,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 138.1h against a reorder point of 9 units."
RP-000011,WDF01,AR00283,SUP008,2026-07-03,3.626,12.299,9,66.94,LOW,3,OPEN,0.9989,5.73,EUR,"1.3 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 66.9h against a reorder point of 12.3 units."
RP-000012,MUC01,AR90021,SUP008,2026-07-03,2.54,7,4,60.96,LOW,3,OPEN,0.95,5.72,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 61h against a reorder point of 7 units."
RP-000013,MUC01,AR00151,SUP008,2026-07-03,3.467,7,4,83.21,LOW,3,OPEN,0.95,5.72,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 83.2h against a reorder point of 7 units."
RP-000014,HAM01,AR00333,SUP007,2026-07-03,2.317,11.584,10,31.6,LOW,3,OPEN,1,5.45,EUR,"1.1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 31.6h against a reorder point of 11.6 units."
RP-000015,STR01,AR00454,SUP008,2026-07-03,0.982,7,6,23.57,LOW,3,OPEN,0.95,5.43,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 23.6h against a reorder point of 7 units."
