ID,store_ID,article_ID,businessDate,expiresOn,hoursToExpiry,onHand,forecastSellThrough,projectedWaste,recommendedDiscountPct,expectedRecovery,wasteCostAvoided,marginImpact,currency_code,criticality,state,reasoning
MD-000001,BLN01,AR00245,2026-07-03,2026-07-06,42,5.374,1.007,4.367,50,7.19,7.65,11.92,EUR,1,OPEN,5 units on hand against 1 expected to sell in the 42h left. A 50% markdown lifts expected sales to 5 units and recovers EUR 7.19 instead of writing off 4.4 units.
MD-000002,WDF01,AR00245,2026-07-03,2026-07-06,57,5.412,0.994,4.418,50,7.1,7.55,11.77,EUR,1,OPEN,5 units on hand against 1 expected to sell in the 57h left. A 50% markdown lifts expected sales to 4.9 units and recovers EUR 7.1 instead of writing off 4.4 units.
MD-000003,MUC01,AR00245,2026-07-03,2026-07-06,57,5.642,0.645,4.997,50,4.61,4.9,7.64,EUR,1,OPEN,6 units on hand against 0.6 expected to sell in the 57h left. A 50% markdown lifts expected sales to 3.2 units and recovers EUR 4.61 instead of writing off 5 units.
MD-000004,HAM01,AR00245,2026-07-03,2026-07-06,37,4.709,2.762,1.947,20,10.7,3.59,6.28,EUR,2,OPEN,5 units on hand against 2.8 expected to sell in the 37h left. A 20% markdown lifts expected sales to 4.6 units and recovers EUR 10.7 instead of writing off 1.9 units.
MD-000005,STR01,AR00245,2026-07-03,2026-07-06,57,5.283,0.426,4.857,50,3.04,3.24,5.04,EUR,1,OPEN,5 units on hand against 0.4 expected to sell in the 57h left. A 50% markdown lifts expected sales to 2.1 units and recovers EUR 3.04 instead of writing off 4.9 units.
MD-000006,HAM01,AR00163,2026-07-03,2026-07-05,22,5.477,0.343,5.134,50,3,3.17,4.95,EUR,1,OPEN,5 units on hand against 0.3 expected to sell in the 22h left. A 50% markdown lifts expected sales to 1.7 units and recovers EUR 3 instead of writing off 5.1 units.
MD-000007,HAM01,AR00159,2026-07-03,2026-07-05,22,5.785,0.335,5.45,50,2.93,3.09,4.83,EUR,1,OPEN,6 units on hand against 0.3 expected to sell in the 22h left. A 50% markdown lifts expected sales to 1.6 units and recovers EUR 2.93 instead of writing off 5.5 units.
MD-000008,HAM01,AR00158,2026-07-03,2026-07-05,22,5.172,0.303,4.869,50,2.65,2.8,4.37,EUR,1,OPEN,5 units on hand against 0.3 expected to sell in the 22h left. A 50% markdown lifts expected sales to 1.5 units and recovers EUR 2.65 instead of writing off 4.9 units.
MD-000009,HAM01,AR00095,2026-07-03,2026-07-07,52,5.747,0.433,5.314,50,2.59,2.78,4.32,EUR,1,OPEN,6 units on hand against 0.4 expected to sell in the 52h left. A 50% markdown lifts expected sales to 2.1 units and recovers EUR 2.59 instead of writing off 5.3 units.
MD-000010,HAM01,AR00160,2026-07-03,2026-07-05,22,5.715,0.295,5.42,50,2.58,2.72,4.25,EUR,1,OPEN,6 units on hand against 0.3 expected to sell in the 22h left. A 50% markdown lifts expected sales to 1.5 units and recovers EUR 2.58 instead of writing off 5.4 units.
MD-000011,HAM01,AR00157,2026-07-03,2026-07-05,22,5.527,0.287,5.24,50,2.51,2.65,4.14,EUR,1,OPEN,6 units on hand against 0.3 expected to sell in the 22h left. A 50% markdown lifts expected sales to 1.4 units and recovers EUR 2.51 instead of writing off 5.2 units.
MD-000012,HAM01,AR00241,2026-07-03,2026-07-04,7,5.304,0.398,4.906,50,2.29,2.46,3.83,EUR,1,OPEN,5 units on hand against 0.4 expected to sell in the 7h left. A 50% markdown lifts expected sales to 2 units and recovers EUR 2.29 instead of writing off 4.9 units.
MD-000013,HAM01,AR00161,2026-07-03,2026-07-05,22,5.23,0.247,4.983,50,2.16,2.28,3.57,EUR,1,OPEN,5 units on hand against 0.2 expected to sell in the 22h left. A 50% markdown lifts expected sales to 1.2 units and recovers EUR 2.16 instead of writing off 5 units.
MD-000014,BLN01,AR00160,2026-07-03,2026-07-05,25,5.561,0.24,5.321,50,2.09,2.21,3.46,EUR,1,OPEN,6 units on hand against 0.2 expected to sell in the 25h left. A 50% markdown lifts expected sales to 1.2 units and recovers EUR 2.09 instead of writing off 5.3 units.
MD-000015,HAM01,AR00071,2026-07-03,2026-07-05,22,7.603,0.295,7.308,50,1.97,1.82,2.99,EUR,1,OPEN,8 units on hand against 0.3 expected to sell in the 22h left. A 50% markdown lifts expected sales to 1.5 units and recovers EUR 1.97 instead of writing off 7.3 units.
