ID,store_ID,scenario,title,narrative,severity,impactValue,confidence,detectedOn,sourceEntity,sourceId,recommendedAction,criticality,currency_code,state
IN-000001,WDF01,CHECKOUT_INTEGRITY,price error on Sunny Bites Banana Chips,"S.Mart Walldorf Campus: Cancelled value implies EUR 31.80 per unit but the master price is EUR 0.99 (factor 32.12). Cancellation rate 95.2% against a network baseline of 95.0% for this article (7 events, 20 units).",CRITICAL,635.94,0.95,2026-05-31,ShrinkAlerts,SA-000001,Reconcile the article master price with the electronic shelf label.,1,EUR,OPEN
IN-000002,WDF01,CHECKOUT_INTEGRITY,"tag absent on Leergut 0,25 EUR","S.Mart Walldorf Campus: Leergut 0,25 EUR is not RFID tagged but is being presented at an autonomous gate (508 cancellations, 508.0049999999996 units). Cancellation rate 35.6% against a network baseline of 15.5% for this article (508 events, 508.0049999999996 units). Counted stock runs 13.2% below book stock across 21 daily counts.",CRITICAL,126.9,0.95,2026-07-03,ShrinkAlerts,SA-000002,Add the article to the RFID tagging list or block it from the autonomous assortment.,1,EUR,OPEN
IN-000003,BLN01,COLD_CHAIN,Chiller cabinet - BLN01 at 9.6C,S.Mart Berlin Rosenthaler: unit held 9.6C against a target of 5C +/-3C for 120 minutes. Stock exposed is worth EUR 75.59.,HIGH,75.59,0.92,2026-07-03,ColdChainAlerts,CC-00001,"Check door seals and airflow, then re-read in one hour before moving stock.",1,EUR,OPEN
IN-000004,WDF01,CHECKOUT_INTEGRITY,price error on TOPVALU Joynuts Caramel Coffee,S.Mart Walldorf Campus: Cancelled value implies EUR 19.90 per unit but the master price is EUR 3.95 (factor 5.04).,CRITICAL,59.7,0.936,2026-06-07,ShrinkAlerts,SA-000003,Reconcile the article master price with the electronic shelf label.,1,EUR,OPEN
IN-000005,STR01,COLD_CHAIN,Chiller cabinet - STR01 at 10C,S.Mart St. Leon-Rot: unit held 10C against a target of 5C +/-3C for 60 minutes. Stock exposed is worth EUR 41.23.,HIGH,41.23,0.92,2026-06-30,ColdChainAlerts,CC-00002,"Check door seals and airflow, then re-read in one hour before moving stock.",1,EUR,OPEN
IN-000006,WDF01,COLD_CHAIN,Chiller cabinet - WDF01 at 13.2C,S.Mart Walldorf Campus: unit held 13.2C against a target of 5C +/-3C for 60 minutes. Stock exposed is worth EUR 39.74.,CRITICAL,39.74,0.92,2026-06-28,ColdChainAlerts,CC-00003,Move stock to a working cabinet and raise a service call - the unit is far outside band.,1,EUR,OPEN
IN-000007,MUC01,COLD_CHAIN,Chiller cabinet - MUC01 at 8.1C,S.Mart Munich Werksviertel: unit held 8.1C against a target of 5C +/-3C for 60 minutes. Stock exposed is worth EUR 38.08.,MEDIUM,38.08,0.92,2026-06-27,ColdChainAlerts,CC-00007,"Check door seals and airflow, then re-read in one hour before moving stock.",2,EUR,OPEN
IN-000008,WDF01,CHECKOUT_INTEGRITY,price error on Milk Chocolate Style Raisins,S.Mart Walldorf Campus: Cancelled value implies EUR 6.29 per unit but the master price is EUR 1.99 (factor 3.16).,CRITICAL,37.76,0.9,2026-03-24,ShrinkAlerts,SA-000018,Reconcile the article master price with the electronic shelf label.,1,EUR,OPEN
IN-000009,HAM01,COLD_CHAIN,Chiller cabinet - HAM01 at 11.1C,S.Mart Hamburg Hafencity: unit held 11.1C against a target of 5C +/-3C for 60 minutes. Stock exposed is worth EUR 36.7.,HIGH,36.7,0.92,2026-06-27,ColdChainAlerts,CC-00011,"Check door seals and airflow, then re-read in one hour before moving stock.",1,EUR,OPEN
IN-000010,WDF02,COLD_CHAIN,Chiller cabinet - WDF02 at 12.1C,S.Mart Walldorf WDF03: unit held 12.1C against a target of 5C +/-3C for 60 minutes. Stock exposed is worth EUR 33.59.,CRITICAL,33.59,0.92,2026-06-27,ColdChainAlerts,CC-00014,"Check door seals and airflow, then re-read in one hour before moving stock.",1,EUR,OPEN
IN-000011,WDF02,CHECKOUT_INTEGRITY,rfid misread on GO FRESH Sandw Käse,"S.Mart Walldorf WDF03: Cancellation rate 75.0% against a network baseline of 22.2% for this article (3 events, 6 units).",CRITICAL,22.8,0.916,2026-05-01,ShrinkAlerts,SA-000004,Re-tag the facing and run an RFID read test at the gate antenna.,1,EUR,OPEN
IN-000012,WDF02,CHECKOUT_INTEGRITY,rfid misread on GO FRESH Wrap Linse Falaf,"S.Mart Walldorf WDF03: Cancellation rate 75.0% against a network baseline of 23.4% for this article (3 events, 6 units). Counted stock runs 32.2% below book stock across 21 daily counts. GO FRESH Wrap Linse Falaf is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 6 units).",CRITICAL,22.8,0.914,2026-03-27,ShrinkAlerts,SA-000005,Re-tag the facing and run an RFID read test at the gate antenna.,1,EUR,OPEN
IN-000013,WDF02,COLD_CHAIN,Freezer cabinet - WDF02 at -16.2C,S.Mart Walldorf WDF03: unit held -16.2C against a target of -18C +/-3C for 120 minutes. Stock exposed is worth EUR 21.37.,LOW,21.37,0.92,2026-06-27,ColdChainAlerts,CC-00015,"Check door seals and airflow, then re-read in one hour before moving stock.",3,EUR,OPEN
