ID,store_ID,antecedent_ID,consequent_ID,support,confidence,lift,basketCount,upliftPerBasket,currency_code,isCrossZone,recommendedPlacement
AF-000001,WDF01,AR00245,AR00289,0.00778,0.325,14.678,13,0.32,EUR,false,Keep Shot Himbeere Ingwer 60ml adjacent to HOMEMADE Breakfastcup 285g in the CHILLED zone.
AF-000002,WDF01,AR90002,AR90035,0.00479,0.0684,9.521,8,0.05,EUR,true,"Add a secondary facing of Welde Naturradler beside Leergut 0,08 EUR (AMBIENT vs CHILLED zone)."
AF-000003,WDF01,AR90002,AR90034,0.02154,0.3077,8.293,36,0.24,EUR,true,"Add a secondary facing of Welde Slow beside Leergut 0,08 EUR (AMBIENT vs CHILLED zone)."
AF-000004,WDF01,AR90002,AR90036,0.01376,0.1966,7.141,23,0.15,EUR,true,"Add a secondary facing of Welde Alkoholfrei beside Leergut 0,08 EUR (AMBIENT vs CHILLED zone)."
AF-000005,WDF01,AR90003,AR90040,0.00539,0.0353,3.686,9,0.02,EUR,true,"Add a secondary facing of FUZE T PFIRSICH beside Leergut 0,15 EUR (AMBIENT vs CHILLED zone)."
AF-000006,WDF01,AR90003,AR90030,0.00479,0.0314,3.495,8,0.02,EUR,true,"Add a secondary facing of Teinacher Apfelschorle beside Leergut 0,15 EUR (AMBIENT vs CHILLED zone)."
AF-000007,WDF01,AR90003,AR90039,0.03651,0.2392,3.416,61,0.13,EUR,true,"Add a secondary facing of Coca Cola Zero 0,4L Glas Mehrweg beside Leergut 0,15 EUR (AMBIENT vs CHILLED zone)."
AF-000008,WDF01,AR90003,AR90031,0.00598,0.0392,2.979,10,0.01,EUR,false,"Keep Teinacher classic adjacent to Leergut 0,15 EUR in the AMBIENT zone."
AF-000009,WDF01,AR90003,AR90027,0.00598,0.0392,2.621,10,0.02,EUR,true,"Add a secondary facing of Teinacher Mango Maracuja beside Leergut 0,15 EUR (AMBIENT vs CHILLED zone)."
AF-000010,BLN01,AR00244,AR90013,0.00511,0.2083,2.531,10,0.08,EUR,false,"Keep Red Bull 0,25 adjacent to HOMEMADE BUN Veggie Laugenecke Tom Moz in the CHILLED zone."
AF-000011,HAM01,AR90013,AR90019,0.00361,0.0497,2.503,8,0.02,EUR,false,"Keep DPG Vitamin Well Hydrate adjacent to Red Bull 0,25 in the CHILLED zone."
AF-000012,HAM01,AR00395,AR90018,0.00361,0.0842,2.195,8,0.03,EUR,true,Add a secondary facing of DPG Vitamin Well Reload beside Koro Protein Bar Schoko Brownie (AMBIENT vs CHILLED zone).
AF-000013,WDF01,AR90003,AR90037,0.00539,0.0353,2.184,9,0.01,EUR,true,"Add a secondary facing of Mezzo Mix 0,4L Glas Mehrweg beside Leergut 0,15 EUR (AMBIENT vs CHILLED zone)."
AF-000014,WDF01,AR90003,AR90038,0.00479,0.0314,2.184,8,0.01,EUR,true,"Add a secondary facing of Coca Cola 0,4L Glas Mehrweg beside Leergut 0,15 EUR (AMBIENT vs CHILLED zone)."
AF-000015,WDF01,AR90004,AR90018,0.02454,0.0792,1.863,41,0.02,EUR,true,"Add a secondary facing of DPG Vitamin Well Reload beside Leergut 0,25 EUR (AMBIENT vs CHILLED zone)."
AF-000016,WDF01,AR90004,AR90054,0.00718,0.0232,1.843,12,0,EUR,true,"Add a secondary facing of Red Bull Sea Blue Edition beside Leergut 0,25 EUR (AMBIENT vs CHILLED zone)."
AF-000017,WDF01,AR90004,AR90013,0.04608,0.1486,1.787,77,0.03,EUR,true,"Add a secondary facing of Red Bull 0,25 beside Leergut 0,25 EUR (AMBIENT vs CHILLED zone)."
AF-000018,WDF01,AR90004,AR90015,0.02035,0.0656,1.769,34,0.01,EUR,true,"Add a secondary facing of Red Bull Zero beside Leergut 0,25 EUR (AMBIENT vs CHILLED zone)."
AF-000019,WDF01,AR90004,AR90012,0.01915,0.0618,1.72,32,0.01,EUR,true,"Add a secondary facing of Red Bull Green Edition beside Leergut 0,25 EUR (AMBIENT vs CHILLED zone)."
AF-000020,WDF01,AR90004,AR90014,0.01496,0.0483,1.716,25,0.01,EUR,true,"Add a secondary facing of Red Bull Sugar Free 0,25 beside Leergut 0,25 EUR (AMBIENT vs CHILLED zone)."
AF-000021,WDF01,AR90004,AR90055,0.00778,0.0251,1.677,13,0,EUR,true,"Add a secondary facing of Red Bull Summer Edition beside Leergut 0,25 EUR (AMBIENT vs CHILLED zone)."
AF-000022,WDF01,AR90004,AR90011,0.00898,0.029,1.669,15,0,EUR,true,"Add a secondary facing of Red Bull White Edition beside Leergut 0,25 EUR (AMBIENT vs CHILLED zone)."
AF-000023,MUC01,AR00136,AR90004,0.00966,0.4091,1.531,9,0.01,EUR,true,"Add a secondary facing of Leergut 0,25 EUR beside La Magnum Almond (FROZEN vs AMBIENT zone)."
AF-000024,WDF01,AR00136,AR90003,0.00778,0.2281,1.495,13,0,EUR,true,"Add a secondary facing of Leergut 0,15 EUR beside La Magnum Almond (FROZEN vs AMBIENT zone)."
AF-000025,WDF01,AR90004,AR90009,0.00718,0.0232,1.489,12,0,EUR,true,"Add a secondary facing of Powerade Mountain Blast 0,5l PEW beside Leergut 0,25 EUR (AMBIENT vs CHILLED zone)."
