ID,store_ID,posSystem_ID,article_ID,detectedOn,pattern,severity,criticality,state,anomalyScore,cancellationRate,baselineRate,valueAtRisk,currency_code,evidence,recommendedAction
SA-000001,WDF01,PF02,SM0014,2026-05-31,PRICE_ERROR,CRITICAL,1,OPEN,100,0.9524,0.95,635.94,EUR,"Cancelled value implies EUR 31.80 per unit but the master price is EUR 0.99 (factor 32.12). Cancellation rate 95.2% against a network baseline of 95.0% for this article (7 events, 20 units).",Reconcile the article master price with the electronic shelf label.
SA-000002,WDF01,PF02,AR90004,2026-07-03,TAG_ABSENT,CRITICAL,1,OPEN,100,0.3557,0.1547,126.9,EUR,"Leergut 0,25 EUR is not RFID tagged but is being presented at an autonomous gate (508 cancellations, 508.0049999999996 units). Cancellation rate 35.6% against a network baseline of 15.5% for this article (508 events, 508.0049999999996 units). Counted stock runs 13.2% below book stock across 21 daily counts.",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000003,WDF01,SM01,SM0018,2026-06-07,PRICE_ERROR,CRITICAL,1,OPEN,96.4,1,1,59.7,EUR,Cancelled value implies EUR 19.90 per unit but the master price is EUR 3.95 (factor 5.04).,Reconcile the article master price with the electronic shelf label.
SA-000004,WDF02,PF-WDF02,AR00163,2026-05-01,RFID_MISREAD,CRITICAL,1,OPEN,91.52,0.75,0.2222,22.8,EUR,"Cancellation rate 75.0% against a network baseline of 22.2% for this article (3 events, 6 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000005,WDF02,PF-WDF02,AR00164,2026-03-27,RFID_MISREAD,CRITICAL,1,OPEN,91.05,0.75,0.2338,22.8,EUR,"Cancellation rate 75.0% against a network baseline of 23.4% for this article (3 events, 6 units). Counted stock runs 32.2% below book stock across 21 daily counts. GO FRESH Wrap Linse Falaf is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 6 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000006,WDF02,PF-WDF02,AR00288,2026-06-16,STOCK_VARIANCE,CRITICAL,1,OPEN,90.66,0.8,0.6094,19.2,EUR,"Counted stock runs 54.1% below book stock across 21 daily counts. Smothie Froosh  Strawberry 250ml is not RFID tagged but is being presented at an autonomous gate (5 cancellations, 8 units). Cancellation rate 80.0% against a network baseline of 60.9% for this article (5 events, 8 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000007,STR01,PF-STR01,AR00245,2026-06-02,RFID_MISREAD,CRITICAL,1,OPEN,90.51,0.1538,0.0452,18.6,EUR,"Cancellation rate 15.4% against a network baseline of 4.5% for this article (3 events, 6 units). Counted stock runs 8.2% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000008,WDF02,PF-WDF02,AR00065,2026-05-05,RFID_MISREAD,CRITICAL,1,OPEN,90.21,0.5,0.139,17.5,EUR,"Cancellation rate 50.0% against a network baseline of 13.9% for this article (3 events, 7 units). Counted stock runs 13.1% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000009,STR01,PF-STR01,AR00031,2026-06-26,RFID_MISREAD,CRITICAL,1,OPEN,89.92,0.5238,0.16,16.5,EUR,"Cancellation rate 52.4% against a network baseline of 16.0% for this article (4 events, 11 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000010,WDF01,PF02,AR00054,2026-06-26,STOCK_VARIANCE,CRITICAL,1,OPEN,89.45,0.3333,0.2188,15,EUR,"Counted stock runs 49.3% below book stock across 21 daily counts. M&M Peanut is not RFID tagged but is being presented at an autonomous gate (11 cancellations, 15 units). Cancellation rate 33.3% against a network baseline of 21.9% for this article (11 events, 15 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000011,MUC01,PF-MUC01,AR90040,2026-06-19,STOCK_VARIANCE,CRITICAL,1,OPEN,89.34,0.5,0.3534,18.7,EUR,"Counted stock runs 44.7% below book stock across 21 daily counts. FUZE T PFIRSICH is not RFID tagged but is being presented at an autonomous gate (4 cancellations, 11 units). Cancellation rate 50.0% against a network baseline of 35.3% for this article (4 events, 11 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000012,BLN01,SM-BLN01,AR90040,2026-05-26,STOCK_VARIANCE,CRITICAL,1,OPEN,88.97,0.2581,0.3534,13.6,EUR,Counted stock runs 51.5% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000013,HAM01,PF-HAM01,AR90040,2026-06-18,STOCK_VARIANCE,CRITICAL,1,OPEN,88.97,0.3478,0.3534,13.6,EUR,"Counted stock runs 61.7% below book stock across 21 daily counts. FUZE T PFIRSICH is not RFID tagged but is being presented at an autonomous gate (4 cancellations, 8 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000014,WDF02,SM-WDF02,AR00194,2026-04-16,BASKET_ABANDONED,CRITICAL,1,OPEN,88.6,0.7778,0.2348,12.6,EUR,"Cancellation rate 77.8% against a network baseline of 23.5% for this article (3 events, 7 units).",Review basket abandonment at this terminal with the shift lead.
SA-000015,WDF02,PF-WDF02,AR00244,2026-05-11,RFID_MISREAD,CRITICAL,1,OPEN,88.56,0.625,0.119,12.5,EUR,"Cancellation rate 62.5% against a network baseline of 11.9% for this article (3 events, 5 units). Counted stock runs 31.8% below book stock across 21 daily counts. HOMEMADE BUN Veggie Laugenecke Tom Moz is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 5 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000016,WDF01,PF02,AR90003,2026-06-24,TAG_ABSENT,CRITICAL,1,OPEN,88.35,0.1706,0.0688,11.96,EUR,"Leergut 0,15 EUR is not RFID tagged but is being presented at an autonomous gate (79 cancellations, 78.98799999999996 units). Cancellation rate 17.1% against a network baseline of 6.9% for this article (79 events, 78.98799999999996 units). Counted stock runs 21.9% below book stock across 21 daily counts.",Add the article to the RFID tagging list or block it from the autonomous assortment.
SA-000017,WDF02,SM-WDF02,AR00240,2026-06-11,BASKET_ABANDONED,CRITICAL,1,OPEN,88.12,0.5,0.1408,11.4,EUR,"Cancellation rate 50.0% against a network baseline of 14.1% for this article (3 events, 6 units). Counted stock runs 9.1% below book stock across 21 daily counts.",Review basket abandonment at this terminal with the shift lead.
SA-000018,WDF01,SM01,SM0017,2026-03-24,PRICE_ERROR,CRITICAL,1,OPEN,87.58,0.8571,0.9048,37.76,EUR,Cancelled value implies EUR 6.29 per unit but the master price is EUR 1.99 (factor 3.16).,Reconcile the article master price with the electronic shelf label.
SA-000019,WDF02,SM-WDF02,AR00011,2026-06-01,BASKET_ABANDONED,CRITICAL,1,OPEN,87,0.5294,0.1348,9,EUR,"Cancellation rate 52.9% against a network baseline of 13.5% for this article (3 events, 9 units). Counted stock runs 8.7% below book stock across 21 daily counts.",Review basket abandonment at this terminal with the shift lead.
SA-000020,WDF02,SM-WDF02,AR00288,2026-03-23,STOCK_VARIANCE,CRITICAL,1,OPEN,85.97,0.6,0.6094,7.2,EUR,Counted stock runs 54.1% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000021,STR01,PF-STR01,AR00054,2026-06-29,STOCK_VARIANCE,CRITICAL,1,OPEN,85.84,0.3333,0.2188,7,EUR,"Counted stock runs 48.1% below book stock across 21 daily counts. M&M Peanut is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 7 units). Cancellation rate 33.3% against a network baseline of 21.9% for this article (3 events, 7 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000022,STR01,PF-STR01,AR90040,2026-04-23,STOCK_VARIANCE,CRITICAL,1,OPEN,85.71,0.25,0.3534,6.8,EUR,"Counted stock runs 50.6% below book stock across 21 daily counts. FUZE T PFIRSICH is not RFID tagged but is being presented at an autonomous gate (3 cancellations, 4 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000023,STR01,SM-STR01,AR90040,2026-06-24,STOCK_VARIANCE,CRITICAL,1,OPEN,85.71,0.25,0.3534,6.8,EUR,Counted stock runs 50.6% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
