ID,name,group_ID,supplier_ID,unitPriceGross,unitCost,vatRatePct,currency_code,isDeposit,isRfidTagged,shelfLifeDays,abcClass,shelfCapacity,reorderPoint,isFromSapExport
AR90004,"Leergut 0,25 EUR",PFAND,SUP005,0.25,0.0,19.2,EUR,True,False,0,A,36,12,True
AR90003,"Leergut 0,15 EUR",PFAND,SUP004,0.15,0.0,16.8,EUR,True,False,0,A,16,5,True
AR90013,"Red Bull 0,25",ENERGYDRINKS,SUP004,1.7,0.8872,18.8,EUR,False,True,0,A,9,3,True
AR90002,"Leergut 0,08 EUR",PFAND,SUP007,0.08,0.0,17.9,EUR,True,False,0,B,9,3,True
AR90039,"Coca Cola Zero 0,4L Glas Mehrweg",COLAMIX_GETRANKE,SUP002,1.5,0.7815,19.0,EUR,False,True,0,A,7,2,True
AR90018,DPG Vitamin Well Reload,WASSER_AROMATISIERT,SUP007,1.95,1.016,19.0,EUR,False,True,0,A,6,2,True
AR00395,Koro Protein Bar Schoko Brownie,PROTEIN_RIEGEL,SUP008,2.5,1.2862,6.9,EUR,False,True,0,A,6,2,True
AR00394,Koro Protein Bar Pistachio,PROTEIN_RIEGEL,SUP003,2.9,1.4907,7.0,EUR,False,True,0,A,6,2,True
AR00136,La Magnum Almond,IMPULSEIS,SUP006,2.7,1.5126,7.1,EUR,False,True,0,A,6,2,True
AR90034,Welde Slow,BIER,SUP009,1.7,0.9429,19.0,EUR,False,True,0,A,6,2,True
AR90015,Red Bull Zero,ENERGYDRINKS,SUP009,1.7,0.8865,18.9,EUR,False,True,0,A,6,2,True
AR00188,Laugenbrezel mit Butter,HERZHAFTE_BACKWAREN,SUP005,1.8,0.9244,7.1,EUR,False,True,1,A,6,2,True
AR00080,Beef Jerky Original,SNACKS,SUP004,2.5,1.3811,6.8,EUR,False,True,0,A,6,2,True
AR90014,"Red Bull Sugar Free 0,25",ENERGYDRINKS,SUP004,1.7,0.8865,18.9,EUR,False,True,0,A,6,2,True
AR90012,Red Bull Green Edition,ENERGYDRINKS,SUP008,1.7,0.8857,19.0,EUR,False,True,0,A,6,2,True
AR00245,HOMEMADE Breakfastcup 285g,FRUHSTUCK,SUP003,3.1,1.8559,6.9,EUR,False,True,3,A,6,2,True
AR00010,Protein Bar Chocolate,PROTEIN_RIEGEL,SUP007,1.0,0.5126,7.3,EUR,False,True,0,A,6,2,True
AR00009,Protein Bar Caramell Toffee,PROTEIN_RIEGEL,SUP001,1.0,0.5131,7.2,EUR,False,True,0,A,6,2,True
AR90036,Welde Alkoholfrei,BIER,SUP005,1.7,0.9437,18.9,EUR,False,True,0,A,6,2,True
AR00241,HOMEMADE BUN HAM,HOMEMADE_BUNS,SUP006,2.5,1.4967,6.9,EUR,False,True,1,A,6,2,True
AR90019,DPG Vitamin Well Hydrate,WASSER_AROMATISIERT,SUP003,1.95,1.0168,18.9,EUR,False,True,0,A,6,2,True
AR00289,Shot Himbeere Ingwer 60ml,KALTGETRANKE,SUP004,2.2,1.1462,19.0,EUR,False,True,0,A,6,2,True
AR00240,HOMEMADE BUN Cheese,HOMEMADE_BUNS,SUP004,1.9,1.1396,6.7,EUR,False,True,1,A,6,2,True
AR00084,La Nogger Choc,IMPULSEIS,SUP007,2.0,1.1215,7.0,EUR,False,True,0,A,6,2,True
AR00011,Protein Bar Vanilla Stracci,PROTEIN_RIEGEL,SUP004,1.0,0.5126,7.3,EUR,False,True,0,A,6,2,True
AR00244,HOMEMADE BUN Veggie Laugenecke Tom Moz,HOMEMADE_BUNS,SUP008,2.5,1.4967,6.9,EUR,False,False,1,A,6,2,True
AR00243,HOMEMADE BUN VEGAN,HOMEMADE_BUNS,SUP003,2.5,1.4967,6.9,EUR,False,True,1,A,6,2,True
AR00039,Airwaves Menth & Eucalypt,KAUGUMMI,SUP009,1.0,0.5405,7.3,EUR,False,True,0,A,6,2,True
AR90009,"Powerade Mountain Blast 0,5l PEW",KALTGETRANKE,SUP009,1.6,0.8315,19.3,EUR,False,True,0,A,6,2,True
AR00001,Kinder Bueno 43g Ferrero,SUSSE_RIEGEL,SUP001,1.0,0.54,7.4,EUR,False,True,0,A,6,2,True
AR90011,Red Bull White Edition,ENERGYDRINKS,SUP005,1.7,0.8857,19.0,EUR,False,True,0,A,6,2,True
AR00081,Beef Jerky Sweet & Hot,SNACKS,SUP001,2.5,1.3798,6.9,EUR,False,True,0,A,6,2,True
AR00138,La Cornetto Haselnuss,IMPULSEIS,SUP005,2.0,1.1215,7.0,EUR,False,True,0,A,6,2,True
AR00137,La Magnum Classic,IMPULSEIS,SUP005,2.7,1.5126,7.1,EUR,False,True,0,A,6,2,True
AR90055,Red Bull Summer Edition,ENERGYDRINKS,SUP002,1.7,0.8865,18.9,EUR,False,True,0,A,6,2,True
AR00024,Snickers Ice Cream Eisrie,IMPULSEIS,SUP002,2.5,1.4032,6.9,EUR,False,True,0,A,6,2,True
AR90037,"Mezzo Mix 0,4L Glas Mehrweg",COLAMIX_GETRANKE,SUP010,1.5,0.7815,19.0,EUR,False,True,0,A,6,2,True
AR00193,XL Laugenbrezel 130g FG,HERZHAFTE_BACKWAREN,SUP009,1.4,0.7203,6.9,EUR,False,True,1,A,6,2,True
AR00065,BLACK FOREST ICE CREAM Schokolade 100ml,IMPULSEIS,SUP003,2.5,1.4019,7.0,EUR,False,True,0,A,6,2,True
AR00031,Filly Nut Donut,SUSSE_BACKWAREN,SUP007,1.5,0.7703,7.1,EUR,False,True,1,A,6,2,True
AR90020,DPG Vitamin Well Prepare,WASSER_AROMATISIERT,SUP003,1.95,1.0168,18.9,EUR,False,True,0,A,6,2,True
AR00242,HOMEMADE BUN Salami,HOMEMADE_BUNS,SUP004,2.5,1.4967,6.9,EUR,False,True,1,A,6,2,True
AR00210,Snickers Riegel  2 Pack,SUSSE_RIEGEL,SUP005,1.2,0.6499,7.1,EUR,False,True,0,A,6,2,True
